src_type,src_id,edge_type,dst_type,dst_id,confidence,evidence_refs,source,updated_at
product,product:Glm技术复盘：21篇论文深度解读智谱模型家族,uses_technology,organization,organization:智谱AI,1.0,evidence:02513:edc4e3bef28dd82e.txt;doc-68acb4bb9d5b8bf722b114092a63d02d-chunk-000,lightrag_graph,2026-06-06T16:52:07.683670
organization,organization:中国前十大互联网公司,related_to,content,content:智谱首份财报,1.0,evidence:02513:9bd8dcc71aea1308.txt;doc-159c33f0d797fd0894851a411359df00-chunk-000,lightrag_graph,2026-06-06T16:52:07.683670
product,product:备案号Beijing-ChatGLM-20230821,related_to,artifact,artifact:智谱清言(ChatGLM),1.0,evidence:02513:1fee14579342d00b.txt;doc-d9bbf73932d18eeffb95e83597295fa0-chunk-000,lightrag_graph,2026-06-06T16:52:07.683670
data,data:ARR,has_metric,entity,entity:MaaS API平台,1.0,evidence:02513:3a2946fdc6d7525b.txt;doc-4af6bd61e79109ab6732460c02dcbbee-chunk-000,lightrag_graph,2026-06-06T16:52:07.683670
stock,stock:02513,evidence_of,evidence_chunk,evidence_chunk:6a7f390b3ec2,0.65,evidence:02513:7cfbd96da05cf3fb.txt;doc-f8b78a46366375f3314cee16510bc31b-chunk-000;6,lightrag_graph,2026-06-06T16:52:07.683670
stock,stock:02513,evidence_of,evidence_chunk,evidence_chunk:d3dbf981e95a,0.65,evidence:02513:5ba523278dfb38a4.txt;doc-3bc59d9dd7efdabb5e96d649b2cf7029-chunk-000;7,lightrag_graph,2026-06-06T16:52:07.683670
other,other:AIGC模型产品矩阵,produces,method,method:CogVLM,1.0,evidence:02513:d9f141da7ec3f385.txt;doc-0326400fcdf73fe5cdbd8616c1a23e13-chunk-000,lightrag_graph,2026-06-06T16:52:07.702922
other,other:AIGC模型产品矩阵,produces,method,method:CodeGeeX,1.0,evidence:02513:d9f141da7ec3f385.txt;doc-0326400fcdf73fe5cdbd8616c1a23e13-chunk-000,lightrag_graph,2026-06-06T16:52:07.702922
entity,entity:MiniMax,produces,organization,organization:智谱,1.0,evidence:02513:79fc2bd415a0b425.txt;doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000,lightrag_graph,2026-06-06T16:52:07.702922
organization,organization:智谱,produces,content,content:智谱清言,1.0,evidence:02513:434e5b846052be06.txt;doc-9da4919957dc304f45e11a62041e9d1c-chunk-000,lightrag_graph,2026-06-06T16:52:07.702922
other,other:AIGC模型产品矩阵,produces,method,method:CogView,1.0,evidence:02513:d9f141da7ec3f385.txt;doc-0326400fcdf73fe5cdbd8616c1a23e13-chunk-000,lightrag_graph,2026-06-06T16:52:07.702922
other,other:AIGC模型产品矩阵,produces,content,content:智谱清言,1.0,evidence:02513:d9f141da7ec3f385.txt;doc-0326400fcdf73fe5cdbd8616c1a23e13-chunk-000,lightrag_graph,2026-06-06T16:52:07.702922
technology,technology:企业级AI基础设施路线,related_to,organization,organization:智谱,1.0,evidence:02513:79fc2bd415a0b425.txt;doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000,lightrag_graph,2026-06-06T16:52:07.702922
entity,entity:MaaS API平台,related_to,organization,organization:智谱,1.0,evidence:02513:3a2946fdc6d7525b.txt;doc-4af6bd61e79109ab6732460c02dcbbee-chunk-000,lightrag_graph,2026-06-06T16:52:07.702922
technology,technology:Agentic Engineering,uses_technology,artifact,artifact:GLM-5,1.0,evidence:02513:a2199ad093dcd419.txt;doc-b4e38788f6345e577d0544273756e626-chunk-000,lightrag_graph,2026-06-06T16:52:07.702922
technology,technology:AI开发新模式,produces,other,other:智谱大模型开放平台,1.0,evidence:02513:2315e55978c3764d.txt;doc-676b8171863c25e934e20e27b2e393f0-chunk-000,lightrag_graph,2026-06-06T16:52:07.702922
entity,entity:同花顺金融网,related_to,organization,organization:智谱,1.0,evidence:02513:3925dd1fcacc0749.txt;doc-cb24584fb61d6a7f609e40760cae9f51-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:02513.HK,related_to,organization,organization:智谱,1.0,evidence:02513:ed017f7b8f3c38b0.txt;doc-0fb260a7589d7c16c051233370004b49-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,produces,content,content:智谱首份财报,1.0,evidence:02513:79fc2bd415a0b425.txt<SEP>evidence:02513:9bd8dcc71aea1308.txt;doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000<SEP>doc-159c33f0d797fd0894851a411359df00-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,produces,entity,entity:智谱2025年度报告,1.0,evidence:02513:44325e49aa486440.txt;doc-cd9f6b7513e5ea92692e58c69cbd8c42-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:MiniMax,produces,organization,organization:智谱,1.0,evidence:02513:79fc2bd415a0b425.txt;doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:北京智譜華章科技股份有限公司,related_to,organization,organization:智谱,1.0,evidence:02513:23901e2bb2ed06e1.txt;doc-e6bb9546f62c7e78cec5f84032400abb-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,related_to,entity,entity:香港,1.0,evidence:02513:7cfbd96da05cf3fb.txt<SEP>evidence:02513:d2b44ba8ea4d1c7b.txt;doc-f8b78a46366375f3314cee16510bc31b-chunk-000<SEP>doc-bbbb32529f902c38e6fcea699979689e-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,catalyst_for,event,event:轻交付、标准化合作模式,1.0,evidence:02513:70badf3159f93488.txt;doc-5647361f6bedcbde814a2fb73eeb0c1a-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:中国前十大互联网公司,capability,organization,organization:智谱,1.0,evidence:02513:9bd8dcc71aea1308.txt;doc-159c33f0d797fd0894851a411359df00-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:HK,related_to,organization,organization:智谱,1.0,evidence:02513:5b66659d0e278f6c.txt<SEP>evidence:02513:5ba523278dfb38a4.txt<SEP>evidence:02513:2315e55978c3764d.txt;doc-17b32dcf7738724991c2f427a0eff142-chunk-000<SEP>doc-3bc59d9dd7efdabb5e96d649b2cf7029-chunk-000<SEP>doc-676b8171863c25e934e20e27b2e393f0-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:MiniMax,produces,concept,concept:全球AI产品公司路线,1.0,evidence:02513:79fc2bd415a0b425.txt;doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,related_to,entity,entity:聆讯后资料集,1.0,evidence:02513:5ba523278dfb38a4.txt;doc-3bc59d9dd7efdabb5e96d649b2cf7029-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,produces,artifact,artifact:MaaS平台,1.0,evidence:02513:89cf45718fedf981.txt;doc-7b78a94bf9c700343fdb8338229d6b4c-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,has_metric,entity,entity:营收,1.0,evidence:02513:5ba523278dfb38a4.txt;doc-3bc59d9dd7efdabb5e96d649b2cf7029-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
data,data:ARR,has_metric,artifact,artifact:MaaS API平台,1.0,evidence:02513:3a2946fdc6d7525b.txt;doc-4af6bd61e79109ab6732460c02dcbbee-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,has_metric,entity,entity:经调整净亏损,1.0,evidence:02513:5ba523278dfb38a4.txt;doc-3bc59d9dd7efdabb5e96d649b2cf7029-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,has_metric,entity,entity:研发投入,1.0,evidence:02513:5ba523278dfb38a4.txt;doc-3bc59d9dd7efdabb5e96d649b2cf7029-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,produces,entity,entity:智谱清言,1.0,evidence:02513:434e5b846052be06.txt;doc-9da4919957dc304f45e11a62041e9d1c-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,related_to,entity,entity:组织结构调整,1.0,evidence:02513:70badf3159f93488.txt;doc-5647361f6bedcbde814a2fb73eeb0c1a-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,produces,entity,entity:行业场景,1.0,evidence:02513:2315e55978c3764d.txt;doc-676b8171863c25e934e20e27b2e393f0-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,produces,artifact,artifact:MaaS API平台,1.0,evidence:02513:3a2946fdc6d7525b.txt;doc-4af6bd61e79109ab6732460c02dcbbee-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:张鹏,related_to,organization,organization:智谱,1.0,evidence:02513:9bd8dcc71aea1308.txt;doc-159c33f0d797fd0894851a411359df00-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
technology,technology:AI 1.0时代,related_to,organization,organization:智谱,1.0,evidence:02513:70badf3159f93488.txt;doc-5647361f6bedcbde814a2fb73eeb0c1a-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
technology,technology:AI 2.0时代,belongs_to,organization,organization:智谱,1.0,evidence:02513:70badf3159f93488.txt;doc-5647361f6bedcbde814a2fb73eeb0c1a-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:商业化方向,has_risk,organization,organization:智谱,1.0,evidence:02513:70badf3159f93488.txt;doc-5647361f6bedcbde814a2fb73eeb0c1a-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:定制化,related_to,organization,organization:智谱,1.0,evidence:02513:70badf3159f93488.txt;doc-5647361f6bedcbde814a2fb73eeb0c1a-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,produces,product,product:AI产品技术,1.0,evidence:02513:2315e55978c3764d.txt;doc-676b8171863c25e934e20e27b2e393f0-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:新浪财经,related_to,organization,organization:智谱,1.0,evidence:02513:ed017f7b8f3c38b0.txt;doc-0fb260a7589d7c16c051233370004b49-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:中国内地注册企业,related_to,organization,organization:智谱,1.0,evidence:02513:d2b44ba8ea4d1c7b.txt;doc-bbbb32529f902c38e6fcea699979689e-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,related_to,entity,entity:香港交易所,1.0,evidence:02513:89cf45718fedf981.txt;doc-7b78a94bf9c700343fdb8338229d6b4c-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,has_metric,entity,entity:毛利率,1.0,evidence:02513:5ba523278dfb38a4.txt;doc-3bc59d9dd7efdabb5e96d649b2cf7029-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,catalyst_for,entity,entity:英特尔,1.0,evidence:02513:434e5b846052be06.txt;doc-9da4919957dc304f45e11a62041e9d1c-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,belongs_to,entity,entity:生成式人工智能,1.0,evidence:02513:1fee14579342d00b.txt;doc-d9bbf73932d18eeffb95e83597295fa0-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:智谱,uses_technology,technology,technology:认知智能技术,1.0,evidence:02513:2315e55978c3764d.txt;doc-676b8171863c25e934e20e27b2e393f0-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:招股书,produces,organization,organization:智谱,1.0,evidence:02513:89cf45718fedf981.txt;doc-7b78a94bf9c700343fdb8338229d6b4c-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:2025年营收7亿,has_metric,organization,organization:智谱,1.0,evidence:02513:79fc2bd415a0b425.txt;doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:亏损47亿,has_metric,organization,organization:智谱,1.0,evidence:02513:79fc2bd415a0b425.txt;doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:企业收入,has_metric,organization,organization:智谱,1.0,evidence:02513:79fc2bd415a0b425.txt;doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:国内B端商业化,has_risk,organization,organization:智谱,1.0,evidence:02513:79fc2bd415a0b425.txt;doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:2025年收入,catalyst_for,organization,organization:智谱,1.0,evidence:02513:3a2946fdc6d7525b.txt;doc-4af6bd61e79109ab6732460c02dcbbee-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:2025年毛利,has_metric,organization,organization:智谱,1.0,evidence:02513:3a2946fdc6d7525b.txt;doc-4af6bd61e79109ab6732460c02dcbbee-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:2025年经调整净亏损,has_metric,organization,organization:智谱,1.0,evidence:02513:3a2946fdc6d7525b.txt;doc-4af6bd61e79109ab6732460c02dcbbee-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:2025年每股亏损,has_metric,organization,organization:智谱,1.0,evidence:02513:3a2946fdc6d7525b.txt;doc-4af6bd61e79109ab6732460c02dcbbee-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:上市后首份成绩单,produces,organization,organization:智谱,1.0,evidence:02513:3a2946fdc6d7525b.txt;doc-4af6bd61e79109ab6732460c02dcbbee-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:CodeGeeX智能编程助手,produces,organization,organization:智谱,1.0,evidence:02513:434e5b846052be06.txt;doc-9da4919957dc304f45e11a62041e9d1c-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:光锥智能,related_to,organization,organization:智谱,1.0,evidence:02513:70badf3159f93488.txt;doc-5647361f6bedcbde814a2fb73eeb0c1a-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:人员调整,related_to,organization,organization:智谱,1.0,evidence:02513:70badf3159f93488.txt;doc-5647361f6bedcbde814a2fb73eeb0c1a-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:IPO,related_to,organization,organization:智谱,1.0,evidence:02513:70badf3159f93488.txt;doc-5647361f6bedcbde814a2fb73eeb0c1a-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:招聘帖,produces,organization,organization:智谱,1.0,evidence:02513:70badf3159f93488.txt;doc-5647361f6bedcbde814a2fb73eeb0c1a-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
product,product:GLM-130B,produces,organization,organization:智谱AI,1.0,evidence:02513:80a6e2b94201e945.txt<SEP>evidence:02513:edc4e3bef28dd82e.txt;doc-40d998d2ad3776bfa02b8cc39ceaa073-chunk-000<SEP>doc-68acb4bb9d5b8bf722b114092a63d02d-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
method,method:GLM模型,downstream,content,content:智谱首份财报,1.0,evidence:02513:9bd8dcc71aea1308.txt;doc-159c33f0d797fd0894851a411359df00-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:企业级解决方案,related_to,other,other:智谱大模型开放平台,1.0,evidence:02513:2315e55978c3764d.txt;doc-676b8171863c25e934e20e27b2e393f0-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:千行百业应用,related_to,other,other:智谱大模型开放平台,1.0,evidence:02513:2315e55978c3764d.txt;doc-676b8171863c25e934e20e27b2e393f0-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:中国前十大互联网公司,related_to,content,content:智谱首份财报,1.0,evidence:02513:9bd8dcc71aea1308.txt;doc-159c33f0d797fd0894851a411359df00-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
product,product:GLM-130B,produces,method,method:GLM架构,1.0,evidence:02513:edc4e3bef28dd82e.txt;doc-68acb4bb9d5b8bf722b114092a63d02d-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
content,content:智谱首份财报,related_to,entity,entity:网易,1.0,evidence:02513:79fc2bd415a0b425.txt;doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
entity,entity:ARC Capabilities,capability,artifact,artifact:GLM-5 Predecessor,1.0,evidence:02513:a2199ad093dcd419.txt;doc-b4e38788f6345e577d0544273756e626-chunk-000,lightrag_graph,2026-06-06T16:52:07.727380
organization,organization:中国前十大互联网公司,capability,organization,organization:智谱,1.0,evidence:02513:9bd8dcc71aea1308.txt;doc-159c33f0d797fd0894851a411359df00-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
concept,concept:业务落地路径,has_metric,content,content:智谱：2025年全年总收入7.24亿元，同比增长131.9% | 科技 ...,1.0,evidence:02513:188bbc6c85b01d0b.txt;doc-28d04bfb177a8df8436828b9a7314fd4-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
other,other:AI产品技术,produces,concept,concept:行业场景,1.0,evidence:02513:2315e55978c3764d.txt;doc-676b8171863c25e934e20e27b2e393f0-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
organization,organization:智谱,produces,concept,concept:行业场景,1.0,evidence:02513:2315e55978c3764d.txt;doc-676b8171863c25e934e20e27b2e393f0-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
concept,concept:企业级AI基础设施路线,related_to,organization,organization:智谱,1.0,evidence:02513:79fc2bd415a0b425.txt;doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
concept,concept:AI行业变化,related_to,concept,concept:企业级AI基础设施路线,1.0,evidence:02513:79fc2bd415a0b425.txt;doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
other,other:AIGC模型产品矩阵,produces,organization,organization:智谱AI,1.0,evidence:02513:d9f141da7ec3f385.txt;doc-0326400fcdf73fe5cdbd8616c1a23e13-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
concept,concept:业务落地路径,related_to,content,content:分析文章,1.0,evidence:02513:188bbc6c85b01d0b.txt;doc-28d04bfb177a8df8436828b9a7314fd4-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
content,content:分析文章,related_to,organization,organization:智谱AI,1.0,evidence:02513:188bbc6c85b01d0b.txt;doc-28d04bfb177a8df8436828b9a7314fd4-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
organization,organization:智谱,catalyst_for,organization,organization:英特尔,1.0,evidence:02513:434e5b846052be06.txt;doc-9da4919957dc304f45e11a62041e9d1c-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
organization,organization:智谱,belongs_to,concept,concept:生成式人工智能,1.0,evidence:02513:1fee14579342d00b.txt;doc-d9bbf73932d18eeffb95e83597295fa0-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
content,content:智谱2025年度报告,related_to,content,content:环境、社会及管治资料,1.0,evidence:02513:44325e49aa486440.txt;doc-cd9f6b7513e5ea92692e58c69cbd8c42-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
organization,organization:智谱,produces,method,method:代码模型,1.0,evidence:02513:89cf45718fedf981.txt;doc-7b78a94bf9c700343fdb8338229d6b4c-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
organization,organization:智谱AI,produces,method,method:基座大模型,1.0,evidence:02513:d9f141da7ec3f385.txt;doc-0326400fcdf73fe5cdbd8616c1a23e13-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
organization,organization:智谱,has_metric,data,data:营收,1.0,evidence:02513:5ba523278dfb38a4.txt;doc-3bc59d9dd7efdabb5e96d649b2cf7029-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
organization,organization:智谱,uses_technology,concept,concept:认知智能技术,1.0,evidence:02513:2315e55978c3764d.txt;doc-676b8171863c25e934e20e27b2e393f0-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
artifact,artifact:GLM-5,has_attention,entity,entity:Hugging Face,1.0,evidence:02513:4a23a57f0cd55f15.txt;doc-93950896a6b0ceeaf6354962d9632b74-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
entity,entity:DSA,capability,artifact,artifact:GLM-5,1.0,evidence:02513:a2199ad093dcd419.txt;doc-b4e38788f6345e577d0544273756e626-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
organization,organization:中国前十大互联网公司,related_to,entity,entity:智谱首份财报,1.0,evidence:02513:9bd8dcc71aea1308.txt;doc-159c33f0d797fd0894851a411359df00-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
concept,concept:人工智能,related_to,artifact,artifact:智谱清言(ChatGLM),1.0,evidence:02513:1fee14579342d00b.txt;doc-d9bbf73932d18eeffb95e83597295fa0-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
method,method:GLM模型,downstream,organization,organization:中国前十大互联网公司,1.0,evidence:02513:9bd8dcc71aea1308.txt;doc-159c33f0d797fd0894851a411359df00-chunk-000,lightrag_graph,2026-06-06T16:52:07.754568
concept,concept:估值,catalyst_for,method,method:轻交付、标准化合作模式,1.0,evidence:02513:70badf3159f93488.txt;doc-5647361f6bedcbde814a2fb73eeb0c1a-chunk-000,lightrag_graph,2026-06-06T16:52:07.770985
other,other:商业化方向,has_risk,other,other:组织结构调整,1.0,evidence:02513:70badf3159f93488.txt;doc-5647361f6bedcbde814a2fb73eeb0c1a-chunk-000,lightrag_graph,2026-06-06T16:52:07.770985
other,other:媒体沟通会,has_attention,person,person:张鹏,1.0,evidence:02513:9bd8dcc71aea1308.txt;doc-159c33f0d797fd0894851a411359df00-chunk-000,lightrag_graph,2026-06-06T16:52:07.770985
concept,concept:投资风险因素,risk_of,person,person:潜在投资者,1.0,evidence:02513:d2b44ba8ea4d1c7b.txt;doc-bbbb32529f902c38e6fcea699979689e-chunk-000,lightrag_graph,2026-06-06T16:52:07.770985
other,other:商业化方向,has_risk,organization,organization:智谱,1.0,evidence:02513:70badf3159f93488.txt;doc-5647361f6bedcbde814a2fb73eeb0c1a-chunk-000,lightrag_graph,2026-06-06T16:52:07.770985
concept,concept:国内B端商业化,has_risk,organization,organization:智谱,1.0,evidence:02513:79fc2bd415a0b425.txt;doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000,lightrag_graph,2026-06-06T16:52:07.770985
concept,concept:投资风险因素,risk_of,concept,concept:金融体系差异,1.0,evidence:02513:d2b44ba8ea4d1c7b.txt;doc-bbbb32529f902c38e6fcea699979689e-chunk-000,lightrag_graph,2026-06-06T16:52:07.770985
organization,organization:智谱AI,has_metric,content,content:智谱：2025年全年总收入7.24亿元，同比增长131.9% | 科技 ...,1.0,evidence:02513:188bbc6c85b01d0b.txt;doc-28d04bfb177a8df8436828b9a7314fd4-chunk-000,lightrag_graph,2026-06-06T16:52:07.770985
concept,concept:投资风险因素,risk_of,concept,concept:经济体系差异,1.0,evidence:02513:d2b44ba8ea4d1c7b.txt;doc-bbbb32529f902c38e6fcea699979689e-chunk-000,lightrag_graph,2026-06-06T16:52:07.770985
concept,concept:投资风险因素,risk_of,concept,concept:法律体系差异,1.0,evidence:02513:d2b44ba8ea4d1c7b.txt;doc-bbbb32529f902c38e6fcea699979689e-chunk-000,lightrag_graph,2026-06-06T16:52:07.770985
